beatmap_id,beatmapset_id,ar,title,artist,creator,version,old_beatmap_id
137,52,5,The SMRPG Song,Marta,Level-Up,Normal,794b005ae3fdcc845b11cc3b2006a163
141,54,5,Dreams,Romantic Mode,Elzamxrai,Normal,50791b017c9d43382403f343fdb62c77
170,39,5,Pump me Amadeus,BanYa,Starrodkirby86,Normal,b93b190a9b78582b5026ab484fec2885
213,96,3,Speed Over Beethoven,,Echo49,Easy,b921c0d62975bb4b7aa8935e40324df2
214,96,5,Speed Over Beethoven,,Echo49,Hard,a792fe1067ea1e162595edab97687736
215,96,8,Speed Over Beethoven,,Echo49,Normal,f37034e07eddb755465f70a395aaad72
121,27,5,Mambo Craze,Buddah Bar,Extor,Hard,b58e4b6803b15e7590046c8769e2738b
155,65,2,Motherland,Crystal Kay,Hitoshirenu Shourai,Easy,8cb7820386fc48db7da53080a1128456
194,86,3,Pumpkin Ondo,Kana Ueda,Hitoshirenu Shourai,Normal,a6ec4ed98bf7cb7a426f8d7b3ad41018
100,31,6,Fall Memories,Phantasma,Kylecito,Hard,52921ef98dcff9883b8cc0567afc730f
120,41,7,Catch You Catch Me,Gumi,Hitoshirenu Shourai,Fun!,4eb4bb0791671209bd71a506f643da67
122,42,5,Caramelldansen,Caramell,meyou22,,d80ac8fc518c0ff69d0963ef91f397f4
124,44,8,Emergency,Drunken Tiger,Starrodkirby86,Hard,21a29d38420f94c518253268a61ba035
134,50,5,Sunday Morning,Maroon 5,eyup,Normal,a2fc0826b4eea3b335bdb854ff90dacc
160,67,5,Lion Suki,Akira Yamaoka,FakeJapanMan!,Normal,18f6c5c898316e01042d15778fd13394
147,59,7,Take On Me,Vision Divine,Kylecito,Hard,05edf9da65e6652bf5954deffc2c5723
75,1,6,DISCO★PRINCE,Kenji Ninuma,peppy,Normal,a5b99395a42bd55bc5eb1d2411cbdf8b
125,45,5,Owarinaki Tabibito,Erisis,Elmo,Normal,20239cac77fcbc5105e496520d8d7530
126,45,5,Owarinaki Tabibito,Erisis,Elmo,Short,6c77f9687dfcba0cf39c3d203122f4bc
183,81,8,Brilliant World,Kaori Oda,Echo49,Hard,7702876988020b001b4fca6816529b2e
184,81,5,Brilliant World,Kaori Oda,Echo49,Normal,019f6a4a2e118899659341748e9fb057
101,30,5,Hey Now Now,The Cloud Room,Extor,Hard,0b24b64504036a0b08f17a4276314a90
152,51,6,What I've Done,Linkin Park,eyup,Hard,fa06c909fbe8e5fdd178ee8c46d8fd28
153,51,5,What I've Done,Linkin Park,eyup,Normal,6d37995ba1503eb1a7b0b693767a012b
250,63,5,Black Sheep,Sonata Arctica,ZZT the Fifth,Hard,2c292eeb874fffc5d11f639a5805a320
198,88,5,Summer Festival,Whiteberry,elzamxrai,Normal,41b1ee43a98626d8b0e3d5e30b040a9e
112,37,0,UNKNOWN ORCHESTRA,UverWorld,Lumino,Easy,2a852753c93f53ba84e04f0854523460
113,37,7,UNKNOWN ORCHESTRA,UverWorld,Lumino,Hard,a9ffec676c23ed70c18cc0b29ab2d6d5
114,37,10,UNKNOWN ORCHESTRA,UverWorld,Lumino,Insane,40e1a0606a68381f84a7b8e48c2f478f
115,37,5,UNKNOWN ORCHESTRA,UverWorld,Lumino,Normal,68e02036339a3ffe983760aeaa271f27
162,55,5,Comin' Up For Air,Storm Lee,Behonkiss,,74c29c4a354125c5f53ac73dc2c5c1a7
174,77,6,Sakura Biyori,Hoshimura Mai,Hitoshirenu Shourai,Easy,9e1a4ea2ae69a278b41421f8dfe29bbd
175,77,4,Sakura Biyori,Hoshimura Mai,Hitoshirenu Shourai,Normal,f88428959b341b008a49dc00f46c8b75
144,57,4,Just Communication,Two - Mix,Elzamxrai,Easy,c8d807d2d0da513b2d0bff9c133548e9
171,74,4,Bride in Dream,Beautiful Day,FFFanatic,Hard,67e5ec48c4924d0aa4b4abbee8b5b991
172,76,5,Kazemachi Jet,Sakamoto Maaya,KiraCatgirl,,44abebf44f8c91189e679206615638a4
110,35,6,Hit in the USA,Beat Crusaders,Shin,Normal,5fa1b4fa6aa480c7f219220d22b04166
164,56,5,Robo's Theme,Yasunori Mitsuda,Starrodkirby86,Easy,b48a16c62e321c2897d3693b8161eb4b
275,75,5,READY STEADY GO,L'Arc~en~Ciel,Hitoshirenu Shourai,Normal,e9b5e31d6b0421f84322ca7f0fec3b44
203,90,5,Feel The O2Jam!,Beautiful Day,FFFanatic,Hard,0f41210995434c1cb1c71d54eb21ac72
204,91,5,Naraku no Hana,Shimamiya Eiko,Donryu,Easy,b3e4b467b37ae17d1d0b87190516886a
145,40,5,You Only Live Once,The Strokes,JacoPOP,For Beginners,302dfa48d19637cf17c8511a2c74a4bb
960,83,7,Zenryoku Shounen,Sukima Switch,Echo49,Insane,42a6f8de3c5d0ab0a7afc645eb216719
189,83,5,Zenryoku Shounen,Sukima Switch,Echo49,Normal,f4327291c5dc3c8cedf4aa0ac7e7a3ff
210,94,5,Hana Maru Sensation,Little Non,Donryu,Normal,75881ec7eac3a5252d52740eec1dbf1b
212,95,4,Taisetsu na Mono,Road of Major,elzamxrai,Easy,c9651eb5a23d9db7eb6f20c0af7be94d
87,24,4,Re:Re:,ASIAN KUNG-FU GENERATION,peppy,Easy,f8b821b546bec6f705276821dc99fb10
88,24,5,Re:Re:,ASIAN KUNG-FU GENERATION,peppy,Normal,d2a97fb2fa4529a5e857fe0466dc1daf
200,62,7,Galvanize,The Chemical Brothers,IcePagoda,Normal,dea97e08396e429036f97af50dc66c23
187,79,8,"Lights, Camera. Action!",HALCALI,Hitoshirenu Shourai,Hard,2da1cce74fd5dcf3f232dbf0a30f8c30
277,124,4,Let's Fighting Love!,South Park,Jean,Easy,272b943a31328e6674da28f509647615
165,25,5,Can't Defeat Airman,Team Nekokan,HolyCOW,,b6daefe2b522d79b202f77c4a84045aa
131,47,7,Tornado (Long Juan Feng),Jay Chou,fruit,,f81565675a98c7ae0e5c5f7af5420d5a
195,64,5,Ride on shooting star,The Pillows,Hitoshirenu Shourai,Normal,fcf6f7640c0e434306554262f9ea2bee
91,3,3,"1,2,3,4, 007 [Wipeout Series]",Ni-Ni,MCXD,-Breezin-,3a0caa344183a9603448136609ad1370
53,3,4,"1,2,3,4, 007 [Wipeout Series]",Ni-Ni,MCXD,-Crusin-,1d23c37a2fda439be752ae2bca06c0cd
54,3,7,"1,2,3,4, 007 [Wipeout Series]",Ni-Ni,MCXD,-Hardrock-,e6f48da7f132c909accc677b77f231b8
55,3,6,"1,2,3,4, 007 [Wipeout Series]",Ni-Ni,MCXD,-Sweatin-,a5372216d0902bacc7eb081e15e36bb9
146,58,6,Not Your Average Thug,Wang Lee Hom,Chan,Hard,f9bb3d924ee9ce4d2e0e77bc55e29e83
103,32,7,Koi no Maiahi,Maeken Trance Project,Lumino,Hard,4cdf98a78bd16c3b7a8a50102d5435ea
104,32,10,Koi no Maiahi,Maeken Trance Project,Lumino,Insane,7350c490ce64c63abada98d039e5c480
105,32,5,Koi no Maiahi,Maeken Trance Project,Lumino,Normal,ef05b3f8e90045fc1264b78ea9134d7c
102,32,0,Koi no Maiahi,Maeken Trance Project,Lumino,Easy,20e131384bbb7269003c4feb9caf26d9
107,34,5,D-tecnoLife(Album Version),UVERworld,Lumino,Hard,4cb0684a66b15d757afdf793037c631c
108,34,7,D-tecnoLife(Album Version),UVERworld,Lumino,Insane,b50622944fe5d177055cc54be967d8f7
109,34,5,D-tecnoLife(Album Version),UVERworld,Lumino,Normal,ec41d9b2774fc48189c6f5fc6c0db527
159,70,6,"TONIGHT,TONIGHT,TONIGHT",BEAT CRUSADERS,Hitoshirenu Shourai,Normal,9b60de431a39e1214632a609c5b86717
209,93,5,Shichiten Hakki ☆ Shijou Shugi,KOTOKO,Donryu,Normal,1d1532ad4553f593cf13461bb11a5ad9
217,98,8,Chicks Dig Giant Robots,Deathwish Nine,GuardianHX,Hard,06f83c55eb25afc8d6b2b81ddda91b5a
218,98,6,Chicks Dig Giant Robots,Deathwish Nine,GuardianHX,Normal,11d1cf8bbfb0dc9035654990ed9f2f8d
178,66,5,Angry Video Game Nerd Theme,Dudelstudios,Behonkiss,Hard,ea75e0ab908502254b4796688de37efd
133,49,2,Hitotoshite Jiku ga Bureteiru,Kenji Ohtsuki,Elle,,bdbfa2417d3d296211424441684d8539
148,60,5,River Flows in You [Paul John's Remix],Yiruma,tsububu,Normal,e7546407f5e8cbac56cdc9a74a7c3184
177,78,5,Sekai wa Sore wo Ai to Yobunda ze,Sambomaster,ZZT the Fifth,Normal,9024a2fa53214f69bf993aa2d85cdd25
216,97,5,Final Fantasy 5 ROBOVoice OC ReMix,Joe Redifer,Hitoshirenu Shourai,Normal,60bfd3dbf771dfac62213316afe589db
166,72,6,"Harder, Better, Faster, Stronger (edit)",Daft Punk,JacoPOP,,a14d8c4d338540f994d7566466d614b9
314,141,5,Vivid,FAIRY FORE,Hitoshirenu Shourai,Hard,545e306c69bf8d2d1dd6eb6731babea5
398,167,5,Mata Ai Mashou,SEAMO,tsububu,Normal,f439f303808e1b07920037352184face
339,33,0,VISTA,Going Under Ground,ZZT,Easy,2ed9f5ccfbf6e8903bb2d4d40fa37045
456,33,3,VISTA,Going Under Ground,ZZT,Hard,c348a7e54f53392d8fc17afd9bef1d9f
457,33,5,VISTA,Going Under Ground,ZZT,Normal,125b5c039fe0857a1ad29565965aba7b
330,146,9,tiger yamato,tiger YAMATO,qudfo9,Hard,43ded64d75a668e52c23d7121fd981e8
1304,304,5,Jumpin' Jack Flash,Billy Fogarty,Aliento,Sweatin',934923e4218f4cf7113dc799ca5dea4d
333,148,5,Because Of You,Kelly Clarkson - Breakaway,SixtySevenFrogs,Normal,685ca915437173e7796a6635df390185
352,157,5,I'm Walking On Sunshine,Katrina & The Waves,Aliento,,a8860ec5a4f61f667c054c948dab6741
712,215,6,All The Way To The Edge Of This World,The Pillows,Gilrad,Hard,d78a9f8b4e1eee0cfc57a97a866d289c
2199,453,5,Junge,Die Aerzte,Fox,Normal,0910696835595d7cb100181006272287
2041,420,5,Here We Go!,Nintendo,eyup,Hard,3863f6ad53e3139d876c084cd16ff758
2604,414,8,Aijou Education,Little Non,DJPop,Hard,81581777d8a459655acc3276ee3b059c
2029,212,4,Aishitageru,LOVERIN TAMBURIN,awp,Easy,4f1d91c34f71a3de7f64fb3c06ec9a1f
4725,541,5,Kodou VerB,BACK-ON,EiJi,Hard,032b9f8fc74957f60202f601708dce8b
5634,123,3,Shonen Heart,Home Made Kazoku,ZZT the Fifth,Normal,c8dffce4a7bc2335755898c00bf319d1
5530,698,8,Lady Love,RIZE,EiJi,Hard,ab41b04542ad4d16c7f23ebfabe82c04
5529,698,5,Lady Love,RIZE,EiJi,Normal,f02e90a026286d271df6ed42dbc337ec
6968,923,4,Daitan ni Ikimashou,Tamaki Nami,James,Normal,ca80c78c6c4cc918bd9b1742d9b69816
6969,923,5,Daitan ni Ikimashou,Tamaki Nami,James,Hard,8206d60c99e79a74badc8fc56282e94f
6903,940,7,Natsukusa no Senro,KOTOKO and Utatsuki Kaori,James,Hard,d5f86ce012d917968f718e1f79263f55
7475,512,5,Unsteadily,WAWA,EiJi,Hard,cc5c87f42d2decfd9d65d192f8f1d44a
9634,897,7,Houkiboshi,Younha,MaxwellDemon,Hard,b69ac919486d4cb36fdfef4e643c15df
16295,1225,5,Code Monkey,Jonathan Coulton,bitor,Easy,82aaec54e83c9350281d5a56adc694a4
16296,1225,5,Code Monkey,Jonathan Coulton,bitor,Normal,e664f872566aa7a6e9f59f1fdb1108b3
16469,1337,2,Melody,175R,Kasada,Easy,58da764758edff192cf4904125b2494b
16471,1337,5,Melody,175R,Kasada,Hard,f81ddfe7749c5b96e1724f7310755f7e
16470,1337,5,Melody,175R,Kasada,Normal,6b5dc7230dbbaf436ba34c62cca95e2f
13668,1369,3,Lullaby For You,JYONGRI,diela,Normal,d1fa71f0e1e473e352a3592580a04773
13669,1369,7,Lullaby For You,JYONGRI,diela,Hard,7d834f49e4fdf3003fca863c843b428c
15462,1373,3,What is Love,Haddaway,wiicademan,Easy,229f15d09854fb8ccb739ca61f705af6
15463,1373,5,What is Love,Haddaway,wiicademan,Normal,16674db735f255566799b1149e409780
13936,1442,6,Chocolate Disco,Perfume,James,Hard,98fae2a6242427cd7104b4cc03bdd266
14746,1518,5,Honey Beat,V6,vytalibus,Mild,c0ac25e9b5a79112874a2314c70cfd62
14747,1518,7,Honey Beat,V6,vytalibus,Wild,ed012a14802b2490b8e0fdb867259402
14218,1588,3,Casino Night Zone (2-Player),Sonic 2,Hitoshirenu Shourai,Normal,52e68a8f5736462a7bc232bb5bb5237f
15924,1723,7,True My Heart,Anenew feat. Saori Sakura,vytalibus,Hard,e4b9354a0ce2a9e11f9e05762ada45f9
15923,1723,5,True My Heart,Anenew feat. Saori Sakura,vytalibus,Normal,7751e32c462a5e13851fc4836b8e6386
14584,442,1,Doubt & Trust,Access,Hitoshirenu Shourai,Easy,fb421ba27ac9f6b60f4c7704b80ee90e
14586,442,7,Doubt & Trust,Access,Hitoshirenu Shourai,Hard,f4e45fb7e11b83d63cf74eba4e147899
14585,442,3,Doubt & Trust,Access,Hitoshirenu Shourai,Normal,a9e8042e4c37842f2b3b3bb0a7a9709f
14678,906,3,Taisetsu na Mono,Road of Major,Kai,Easy,fd75c996dfc21401f9a907393aa15bab
14679,906,4,Taisetsu na Mono,Road of Major,Kai,Normal,048e3869d0db338503076d2032e68254
14680,906,7,Taisetsu na Mono,Road of Major,Kai,Hard,0dc0c4f82e671eda79d173034592e2ba
14681,906,8,Taisetsu na Mono,Road of Major,Kai,Insane,3af68204c615ee81bec4ae26efbd0073
13618,1486,4,Morning Glory,BeForU,James,Normal,5ab46d2c7950f74e26c84a3c656d9910
16622,1541,4,Emptiness And,Takeharu Ishimoto,buraimaster1234,Normal,149e90aa86cdc9c44d111e657c82cdf3
16624,1541,7,Emptiness And,Takeharu Ishimoto,buraimaster1234,Ultimate,ec05369111286aecba060595983b4a47
16594,1759,6,One Way,Hillsong,James,Hard,9393dbb215157872b368f8baf3b228cb
19613,1941,4,Boulevard Of Broken Dreams,Green Day,kingcobra52,Easy,3620c5d44987600c833e385d0ac634fb
19799,1941,4,Boulevard Of Broken Dreams,Green Day,kingcobra52,Normal,bc50be991cffce75b6e1cc6283240cca
19828,1941,6,Boulevard Of Broken Dreams,Green Day,kingcobra52,Hard,5c1fce8cbb6e25c381cf9d2648a5be38
19787,2506,3,Kaze ni onegai,Forte Escape,Cyclone,Easy,8bdc4843a1a20399c72c47f523cc3300
19736,2506,5,Kaze ni onegai,Forte Escape,Cyclone,Normal,f240736c7fa40d89d54697526febd3cf
19719,2506,5,Kaze ni onegai,Forte Escape,Cyclone,Hard,7345fc02db0724d6c9e9eced36cbebd6
20735,2983,7,Vulnerability,Trauma Center: Second Opinion,Larto,Vulnerability,ae33e1d78820d520134bd1043b07159c
20959,3098,5,What Do You Want from Me,Cascada,Tri-Edge,Normal,1a814ea0e9696b0924c906cb7e58a318
21173,3108,2,Star Wars Theme,Meco,LuigiHann,m980's Easy,88ad81214beb1eb77312c2f9b1858a6b
21178,3108,5,Star Wars Theme,Meco,LuigiHann,Luigi's Normal,71b7a2cad2d54e58c689d332fa8de930
21179,3108,6,Star Wars Theme,Meco,LuigiHann,Luigi's Insane,311843c2a97575e80c04787dacf3f84c
21180,3108,8,Star Wars Theme,Meco,LuigiHann,m980's Insane,0f03c3141983d3ef70a015801f05deb2
21118,3146,5,First Step Master,"Wizet, Nexon",Metroid,Easy,2603a432e07c3d814f50725f89a399e7
21066,3146,6,First Step Master,"Wizet, Nexon",Metroid,Normal,2b515801e08dfc656fc494b664f5e907
21115,3146,7,First Step Master,"Wizet, Nexon",Metroid,Hard,03b478256d09889ad6d4e622f32511a8
22898,3919,4,Mr. Brightside,The Killers,LuigiHann,Hard,1466c4800f0ea79c998609abc39ec4a9
22956,3919,7,Mr. Brightside,The Killers,LuigiHann,Insane,c52f850bc65329b71444e5419b33acc3
22954,3919,3,Mr. Brightside,The Killers,LuigiHann,Normal,914e97365cc2f4180e4d0a9d51fd55c9
23189,4033,4,Braid - Counting You Up,The EX-Box Boys,LuigiHann,Easy,d2708118d5b11dff00f441d710faa94c
23186,4033,5,Braid - Counting You Up,The EX-Box Boys,LuigiHann,Normal,d9acc9b97d6f23f32b12a8ca09da50d5
20102,2680,0,La La,Laura Jane,Larto,Cruisin',7ac01bf6f25f6b74c988a77c20ba56ea
23811,2680,9,La La,Laura Jane,Larto,HARD ROCK!,9c69281d0281f5c5a2f4fadd0842da87
20103,2680,4,La La,Laura Jane,Larto,Sweatin',0acb722bf4eac9dbffb05c4f802234fb
22760,3862,7,Tsuepeshu no Osanaki Matsuei,Gojou Kai,Al-Azif,Hard,290d1339b98637646493fa147d9ed835
24162,4441,7,Yorokobi no Carol,Iwao Junko,DJPop,Hard,dde841f686e48552fef44ed913f9e940
22613,3253,5,Wir werden siegen,Frank Schindel,AgentSieg,Champion,c6897666d7c3eef3029e95e498d86c00
23025,3253,4,Wir werden siegen,Frank Schindel,AgentSieg,Rookie,ea31c74975de169f34a394d444f498e9
15228,1206,8,Csikos Post,BanYa,Kai,Insane,fb6cc68d876f0a907f8d3c83ef5bb223
24510,4581,7,Motteke! Sailor Fuku (Metabo Taisaku Mix),Lucky Star,DJPop,Hard,bd6885475b11412d7c1d51f7b036e891
26360,5100,6,Do It All Night,E-Rotic,osu_CN_yaya,Hard,b334c1e0eba35d72e1148393de4ca5a1
25908,5140,7,Dj English,Emanuele Inglese,lele94,Hard,b2ad8122ee75eb667006e915a7ea6e32
26086,5213,3,Orange,"Yui Horie, Rie Kugimiya & Eri Kitamura",xxheroxx,Ryuji-Normal,177c9ff54c3eb4257ad664210b66d7e3
27725,5430,2,I'm Not Your Boyfriend Baby,3oh!3,EEeee,eeeasy,f068dbe7b6cd5fc3c8def4c390f1bc93
27726,5430,6,I'm Not Your Boyfriend Baby,3oh!3,EEeee,Gladi's Hard,f97f50fd54410bfd09ca7c45a3c48268
26692,5430,6,I'm Not Your Boyfriend Baby,3oh!3,EEeee,Insane,d0b2d08885e8bfb92b5c9be5def473be
27250,5640,6,Into The Night,Carlos Santana Ft. Chad Kroeg,osuplayer111,Hard,23e568ec965eea266fdbbb90a4946513
22333,3681,7,It Doesn't Matter,Crush 40 ft. Tony Harnell,Ekaru,Hard,8614b32eccd803fe0b5c676995e1e93e
23326,3681,5,It Doesn't Matter,Crush 40 ft. Tony Harnell,Ekaru,Normal,554381214febe899771e6f2905aed398
22551,3765,1,Stayin' Alive,Bee Gees,FluffRat,Easy,85124e81296e9bbbb9be9ae9b199b414
22553,3765,7,Stayin' Alive,Bee Gees,FluffRat,Hard,7cab11e43d6f97550ae555b3542828aa
22552,3765,4,Stayin' Alive,Bee Gees,FluffRat,Normal,126d48c7d6c5973c2b82195abf07dd96
26057,5170,7,Eternal Snow,Changin' My Life,Saturos-fangirl,Hard,a36598e2734c6e68a454d13d9bb8edfa
25981,5170,7,Eternal Snow,Changin' My Life,Saturos-fangirl,Normal,c95c6b0abc312505a6aae68d50815eb3
27450,5723,5,Die Another Day,Madonna,xxheroxx,Ada-Hard,7db662f38cb0d29c9de186998e001133
27733,5723,6,Die Another Day,Madonna,xxheroxx,Larto-Insane,038dd98cf9aae08ef9e0987c882025c4
27558,5770,7,Do it,Nelly Furtado,lesjuh,Hard,8f6c0e6151b910c2774f8c9a353080df
28024,5770,5,Do it,Nelly Furtado,lesjuh,Normal,c42fcc3713f04594f69e4620c2c739a4
27739,5848,6,Over the Sky,Hitomi Kuroishi,Card N'FoRcE,Hard,0ed72576c2fab6a5baeefb37482d07e4
28035,5963,7,Cloud Age Symphony,Shuntaro Okino,Card N'FoRcE,Hard,5136cf5a1ff7c6a8be8caa2c2c94f73a
28036,5963,8,Cloud Age Symphony,Shuntaro Okino,Card N'FoRcE,Insane,d59eee1050b42170a327f45592fca8ec
28037,5963,5,Cloud Age Symphony,Shuntaro Okino,Card N'FoRcE,Normal,61d5182fec21992d4cee7fdda4971e1c
27266,5646,6,The Walk,Imogen Heap,Seibei4211,Hard,0534d691fd7dd760bfa7d01e53089fa5
27453,5646,4,The Walk,Imogen Heap,Seibei4211,Normal,aed939bc2ec952f4540e6ee273f9d340
29828,6507,3,Sharada,Skye Sweetnam,Nexy,Soft,2ea42b47df08ef0acfa53fdeac9145ea
30078,6732,7,That's What You Get,Paramore,foulcoon,Hard,d04a5cafa4f3d599ce7e872d26aa37ff
30160,6732,5,That's What You Get,Paramore,foulcoon,Normal,27891de573016050bc237f292ce87408
30215,6792,5,She's a Rebel,Green Day,Metroid,Sweatin',ea4d2885bf9ff4133d91dcbebb5625ae
30273,6818,2,Je t'aime,Federica Felini,AlexanderPD,Easy,921afebdfa1c60ea540e3b573c58f86b
30274,6818,7,Je t'aime,Federica Felini,AlexanderPD,Hard,71e65e78432e83860f21d81b28cf2952
30275,6818,6,Je t'aime,Federica Felini,AlexanderPD,Normal,49500843985beaaea05f66e471f8384e
31517,5180,2,Phantom,BanYa,[DBF],Easy,7958d6b38fcefc6d4b2bdc698fce199d
31518,5180,5,Phantom,BanYa,[DBF],Hard,02217543299d470c1489782d7fdd7518
29951,6685,4,"Nee, Shiyou Yo!",KOTOKO,tom800510,Lovers!!?,28d644059f0738c3e15ac30c524e5300
29950,6685,2,"Nee, Shiyou Yo!",KOTOKO,tom800510,Sisters!!?,17c52c41eed4137a3c8f54785b31ff03
30824,7034,8,Voyage 1969 (Instrumental),Haru,Nexy,Hard,548066b7b4d1d73274fffcd46bfd9cf3
31151,7034,5,Voyage 1969 (Instrumental),Haru,Nexy,Normal,6e42594e19a79df64edc94c021dfe994
31177,7151,5,Tomare!,Hirano Aya,Gabi,DanDan's Tag,ae8778a1f122f68db27cc05e20971b55
31150,7151,8,Tomare!,Hirano Aya,Gabi,Insane,a94cdaa783c9e9ddd2af2a6424290e47
31438,7260,8,Septette for the Dead Princess (Instrumental),Haru,Mafiamaster,Lunatic,c8dc4f61a70053a7da0408959487f2ec
31439,7260,4,Septette for the Dead Princess (Instrumental),Haru,Mafiamaster,Normal,c0b3e86d6d2e4199fcef036aa52c58f7
32048,7390,7,Brave Heart,Megumi Hayashibara,tieff,Insane,9b8e88327e0f209c985cf313ea71dcc8
31832,7390,5,Brave Heart,Megumi Hayashibara,tieff,Normal,f04c7db03d1538665a8a830983073b4d
28675,5686,5,Battle Arena,Grant Kirkhope,Zerostarry,Normal,9d5036ac6368ed47b7f0b2d88eb8a16b
29584,6550,7,Melody.exe,Hatsune Miku,Card N'FoRcE,Hard,60a8b11bd21c03500b3c90097d1a0625
31149,6550,7,Melody.exe,Hatsune Miku,Card N'FoRcE,Kyo's,7f5b84ec916f8ae8fa2a6e45cec4b2fd
29642,6550,5,Melody.exe,Hatsune Miku,Card N'FoRcE,Normal,c9f08ecede0514518ff6be03284d6c46
31974,7401,6,Shounen Heart (TV Size),Home Made Kazoku,Ryuukun,Nirvash typeTheEND,26eacd13e6d478bbdb284c40f0aa8525
31975,7401,7,Shounen Heart (TV Size),Home Made Kazoku,Ryuukun,Nirvash typeZERO,5113e4a8bb35ce92c4db40fa19073571
31976,7401,2,Shounen Heart (TV Size),Home Made Kazoku,Ryuukun,Terminus typeR909,d328a1bab6e1e8f7c7f8e2236a658d6e
32633,7531,5,Da Da Da,Cyndi Wong,Breeze,Easy,d8de037f6eb83660b6e18a77f6c8b558
33251,7531,7,Da Da Da,Cyndi Wong,Breeze,Hard,9e2804fa40f2d0a3f6504a028561beb5
32632,7531,5,Da Da Da,Cyndi Wong,Breeze,Normal,1f54a65bdd08f9ebccca19b55b322cf3
33039,7845,3,Canon-D,BanYa,[DBF],Easy,54f9934b0b449b7cee51094e7f558329
33087,7845,5,Canon-D,BanYa,[DBF],Hard,d766f33aa17faa5cdd71979ac0daed03
27857,5257,7,Headlock,Imogen Heap,Ruduen,Larto's Locked,086e8769512179f5b0fd9aaec8df39e3
35161,8606,6,Dicks Are For My Friends,Mindless Self Indulgence,Larto,Hard,386283e3ec6fe489d6ee037257e59de2
35188,8606,8,Dicks Are For My Friends,Mindless Self Indulgence,Larto,Insane,91a476971d68841a2a1e245878ddd030
35163,8606,3,Dicks Are For My Friends,Mindless Self Indulgence,Larto,Normal,a9e912bc0825174832794126fbb43931
35398,8651,8,Now If There is a Smile,Nogawa Sakura,ztrot,whymeman's Gate,b13934bfa3a2d62f1c92a387ade1d2ca
35652,8768,7,Maiden,Type-Moon,tieff,Hard,394873ddcfd5f04e259c2bd452cf03f0
35653,8768,6,Maiden,Type-Moon,tieff,Normal,baa2cb442f78c8dabf7d48e94a6047a9
